
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
201,23-11,23,11,34,12,1,2008-18
202,23-12,23,12,35,11,9,2004-09
203,23-13,23,13,36,10,47,2015-07
204,23-14,23,14,37,9,48,2014-13
205,23-15,23,15,38,8,9,2013-17
206,23-16,23,16,39,7,34,2015-17
207,23-17,23,17,40,6,108,2015-16
208,23-18,23,18,41,5,5,2009-12
209,23-19,23,19,42,4,16,2015-12
210,23-20,23,20,43,3,174,2015-15
211,23-21,23,21,44,2,50,2014-03
212,23-22,23,22,45,1,10,2012-07
213,23-23,23,23,46,0,4,1984-10
214,24-0,24,0,24,24,59,2014-13
215,24-2,24,2,26,22,3,2011-17
216,24-3,24,3,27,21,56,2014-09
217,24-5,24,5,29,19,1,2004-14
218,24-6,24,6,30,18,32,2015-11
219,24-7,24,7,31,17,79,2014-02
220,24-8,24,8,32,16,1,1975-06
221,24-9,24,9,33,15,17,2012-17
222,24-10,24,10,34,14,114,2015-19
223,24-11,24,11,35,13,1,1998-09
224,24-12,24,12,36,12,10,2015-03
225,24-13,24,13,37,11,67,2014-18
226,24-14,24,14,38,10,136,2015-14
227,24-15,24,15,39,9,6,2012-08
228,24-16,24,16,40,8,40,2015-16
229,24-17,24,17,41,7,153,2015-13
230,24-18,24,18,42,6,4,2013-09
231,24-19,24,19,43,5,28,2015-02
232,24-20,24,20,44,4,105,2015-16
233,24-21,24,21,45,3,142,2015-13
234,24-22,24,22,46,2,26,2015-04
235,24-23,24,23,47,1,71,2014-07
236,24-24,24,24,48,0,17,2012-09
237,25-0,25,0,25,25,10,2002-02
238,25-3,25,3,28,22,2,2013-14
239,25-6,25,6,31,19,3,1995-03
240,25-7,25,7,32,18,8,2002-07
241,25-10,25,10,35,15,9,2007-06
242,25-12,25,12,37,13,3,2015-11
243,25-13,25,13,38,12,5,2015-06
244,25-14,25,14,39,11,5,2014-02
245,25-15,25,15,40,10,3,2012-08
246,25-16,25,16,41,9,2,2008-07
247,25-17,25,17,42,8,11,2011-08
248,25-19,25,19,44,6,7,2015-05
249,25-20,25,20,45,5,11,2015-06
250,25-21,25,21,46,4,8,2013-02
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
251,25-22,25,22,47,3,8,2010-02
252,25-23,25,23,48,2,4,2009-09
253,25-24,25,24,49,1,14,2014-13
254,26-0,26,0,26,26,28,2015-03
255,26-3,26,3,29,23,16,2012-06
256,26-6,26,6,32,20,11,2014-02
257,26-7,26,7,33,19,32,2009-14
258,26-8,26,8,34,18,2,1978-09
259,26-9,26,9,35,17,6,2002-05
260,26-10,26,10,36,16,37,2014-17
261,26-11,26,11,37,15,1,2006-11
262,26-12,26,12,38,14,1,2004-12
263,26-13,26,13,39,13,20,2013-15
264,26-14,26,14,40,12,36,2008-17
265,26-15,26,15,41,11,3,1997-05
266,26-16,26,16,42,10,19,2015-02
267,26-17,26,17,43,9,28,2013-05
268,26-18,26,18,44,8,6,2015-07
269,26-19,26,19,45,7,3,2015-02
270,26-20,26,20,46,6,47,2015-17
271,26-21,26,21,47,5,34,2015-15
272,26-22,26,22,48,4,4,2002-13
273,26-23,26,23,49,3,34,2015-06
274,26-24,26,24,50,2,32,2015-01
275,26-26,26,26,52,0,1,2013-11
276,27-0,27,0,27,27,63,2014-07
277,27-2,27,2,29,25,1,1957-12
278,27-3,27,3,30,24,40,2015-12
279,27-6,27,6,33,21,34,2015-13
280,27-7,27,7,34,20,92,2015-06
281,27-9,27,9,36,18,11,2013-16
282,27-10,27,10,37,17,92,2015-09
283,27-11,27,11,38,16,6,2013-11
284,27-12,27,12,39,15,7,2012-07
285,27-13,27,13,40,14,61,2014-13
286,27-14,27,14,41,13,78,2015-04
287,27-15,27,15,42,12,5,2011-11
288,27-16,27,16,43,11,30,2015-06
289,27-17,27,17,44,10,100,2015-02
290,27-18,27,18,45,9,1,2000-02
291,27-19,27,19,46,8,16,2014-03
292,27-20,27,20,47,7,102,2015-17
293,27-21,27,21,48,6,86,2015-07
294,27-22,27,22,49,5,13,2015-03
295,27-23,27,23,50,4,38,2015-12
296,27-24,27,24,51,3,191,2015-09
297,27-25,27,25,52,2,6,2014-07
298,27-26,27,26,53,1,19,2015-09
299,27-27,27,27,54,0,4,1970-02
300,28-0,28,0,28,28,41,2012-16
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
301,28-2,28,2,30,26,1,2013-01
302,28-3,28,3,31,25,24,2010-03
303,28-6,28,6,34,22,17,2012-10
304,28-7,28,7,35,21,80,2015-13
305,28-8,28,8,36,20,2,1998-01
306,28-9,28,9,37,19,6,2012-16
307,28-10,28,10,38,18,50,2014-08
308,28-11,28,11,39,17,1,1996-05
309,28-12,28,12,40,16,5,2015-16
310,28-13,28,13,41,15,34,2014-13
311,28-14,28,14,42,14,58,2015-02
312,28-15,28,15,43,13,4,2003-09
313,28-16,28,16,44,12,18,2012-16
314,28-17,28,17,45,11,62,2014-08
315,28-18,28,18,46,10,6,2012-16
316,28-19,28,19,47,9,10,2015-06
317,28-20,28,20,48,8,40,2014-02
318,28-21,28,21,49,7,70,2015-01
319,28-22,28,22,50,6,6,2014-18
320,28-23,28,23,51,5,27,2015-08
321,28-24,28,24,52,4,69,2015-03
322,28-25,28,25,53,3,16,2007-12
323,28-26,28,26,54,2,10,2014-06
324,28-27,28,27,55,1,35,2012-04
325,28-28,28,28,56,0,15,1981-05
326,29-0,29,0,29,29,4,1989-16
327,29-3,29,3,32,26,5,2013-02
328,29-6,29,6,35,23,5,2009-04
329,29-7,29,7,36,22,17,2014-07
330,29-9,29,9,38,20,2,1994-17
331,29-10,29,10,39,19,16,2015-07
332,29-13,29,13,42,16,8,2015-10
333,29-14,29,14,43,15,16,2011-15
334,29-15,29,15,44,14,2,2009-15
335,29-16,29,16,45,13,4,2014-12
336,29-17,29,17,46,12,9,2012-14
337,29-18,29,18,47,11,2,2014-12
338,29-19,29,19,48,10,2,1998-12
339,29-20,29,20,49,9,10,2010-05
340,29-21,29,21,50,8,15,2005-18
341,29-22,29,22,51,7,4,2007-14
342,29-23,29,23,52,6,9,2011-17
343,29-24,29,24,53,5,13,2012-08
344,29-25,29,25,54,4,2,2008-13
345,29-26,29,26,55,3,9,2015-08
346,29-27,29,27,56,2,12,2013-09
347,29-28,29,28,57,1,12,2014-04
348,30-0,30,0,30,30,20,2015-17
349,30-3,30,3,33,27,21,2011-09
350,30-6,30,6,36,24,11,2015-16
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
351,30-7,30,7,37,23,45,2014-02
352,30-8,30,8,38,22,2,2015-13
353,30-9,30,9,39,21,7,2015-10
354,30-10,30,10,40,20,49,2013-16
355,30-11,30,11,41,19,1,1995-17
356,30-12,30,12,42,18,6,2011-09
357,30-13,30,13,43,17,37,2015-14
358,30-14,30,14,44,16,47,2015-14
359,30-15,30,15,45,15,4,2013-06
360,30-16,30,16,46,14,11,2014-08
361,30-17,30,17,47,13,44,2014-17
362,30-18,30,18,48,12,2,2000-08
363,30-19,30,19,49,11,8,2006-13
364,30-20,30,20,50,10,41,2015-14
365,30-21,30,21,51,9,30,2015-12
366,30-22,30,22,52,8,8,2015-11
367,30-23,30,23,53,7,28,2015-06
368,30-24,30,24,54,6,48,2015-16
369,30-25,30,25,55,5,2,2009-07
370,30-26,30,26,56,4,8,2005-16
371,30-27,30,27,57,3,74,2015-05
372,30-28,30,28,58,2,37,2013-05
373,30-29,30,29,59,1,4,2006-15
374,30-30,30,30,60,0,2,1966-09
375,31-0,31,0,31,31,44,2014-05
376,31-2,31,2,33,29,2,1965-01
